"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"5","State","Acharya Narendra Deva Krishi Evam Prodyogik Vishwavidyalaya","Kumarganj, FaizabadAyodhya","224229","Uttar Pradesh","2(f) & 12(B)"
"28","State","Atal Bihari Vajpayee Medical University","9th Floor, Academic Block, Dr. Ram Manohar Lohia Institute of Medical Sciences, Vibhuti Khand, Lucknow","226210","Uttar Pradesh","2(f)"
"37","State","Banda University of Agriculture & Technology","Near New Circuit House,Banda","210001","Uttar Pradesh","2(f)"
"49","State","Bhatkhande Sanskriti Vishwavidyalaya","Near, 1, Parivartan Chowk, Qaisar Bagh, Lucknow","226001","Uttar Pradesh","2(f)"
"68","State","Bundelkhand University","Kanpur Road, Jhansi","284128","Uttar Pradesh","2(f) & 12(B)"
"75","State","Chandra Shekhar Azad University of Agriculture & Technology","Agricultural College Lane,Nawabganj,Kanpur","208002","Uttar Pradesh","2(f) & 12(B)"
"77","State","Chaudhary Charan Singh University","Ramgarhi,Meerut","200005","Uttar Pradesh","2(f) & 12(B)"
"81","State","Chhatrapati Shahu Ji Maharaj University","Kalyanpur, Kanpur","208024","Uttar Pradesh","2(f) & 12(B)"
"99","State","Deen Dayal Upadhyay Gorakhpur University","Civil Lines, GorakhpurPIN - 273 009. (U.P.)","273009","Uttar Pradesh","2(f) & 12(B)"
"114","State","Dr. A.P.J. Abdul Kalam Technical University","Jankipuram ExtensionJankipuram Extension Yojna,Lucknow","226031","Uttar Pradesh","2(f) & 12(B)"
"120","State","Dr. B.R. Ambedkar University","Paliwal Park,Agra","282 004","Uttar Pradesh","2(f) & 12(B)"
"130","State","Dr. Rajendra Prasad National Law University","Gaddopur, Phaphamau, Prayagraj","211013","Uttar Pradesh","2(f)"
"131","State","Dr. Ram Manohar Lohia Awadh University","Allahabad Road Faizabad, Ayodhya","224001","Uttar Pradesh","2(f) & 12(B)"
"132","State","Dr. Ram Manohar Lohia Institute of Medical Sciences","Vibhuti Khand,Gomti Nagar,Lucknow","226010","Uttar Pradesh","2(f)"
"133","State","Dr. Ram Manohar Lohiya National Law University","L.D.A.,Kanpur Road scheme,LucknowLucknow, U.P.","226012","Uttar Pradesh","2(f) & 12(B)"
"134","State","Dr. Shakuntala Misra National Rehabilitation University","5th Floor,Administrative BuildingMohaan Road, Lucknow","226017","Uttar Pradesh","2(f) & 12(B)"
"143","State","Gautam Buddha University","Greater Noida, Dist: Gautam Budh -Nagar,","201 308","Uttar Pradesh","2(f) & 12(B)"
"158","State","Guru Jambheshwar University","Hardadpur, Moradabad,","244001","Uttar Pradesh","2(f)"
"163","State","Harcourt Butler Technical University","Nawabganj, Kanpur","208002","Uttar Pradesh","2(f) & 12(B)"
"192","State","Jagadguru Rambhadracharya Divyang State University","Chitrakoot","210204","Uttar Pradesh","2(f)"
"199","State","Jananayak Chandrashekhar University","Ballia","277001","Uttar Pradesh","2(f)"
"241","State","Khwaja Moinuddin Chishti Language University","Sitapur - Hardoi Bypass Road,Near I.I.M.Lucknow","226013","Uttar Pradesh","2(f) & 12(B)"
"242","State","King Georges Medical University","King George Medical University, Shahmeena Road Chowk, Lucknow,","226003","Uttar Pradesh","2(f) & 12(B)"
"265","State","Maa Pateswari University","Ghughulpur, Balrampur, UP","271201","Uttar Pradesh","2(f)"
